id,pred
12102-1366,2
7578-1366,2
6841-168,1
6841-3053,1
168-3053,2
10720-4042,1
10720-6722,1
4042-6722,2
7245-4662,1
7245-7868,2
4662-7868,2
6894-13426,1
6894-1480,1
13426-1480,2
13732-134,2
13732-5854,2
134-5854,1
12685-2575,2
12685-4980,2
2575-4980,1
2242-14325,2
2242-10444,2
14325-10444,2
6549-1955,1
6549-12294,2
1955-12294,2
13723-10803,1
8740-3620,1
6055-9555,2
6055-11647,2
9555-11647,1
4775-8059,2
4775-9085,2
8059-9085,1
6483-6529,1
6483-14799,1
6529-14799,1
1177-14936,1
1177-7939,1
14936-7939,1
4735-6656,2
4735-7316,1
6656-7316,1
568-1952,2
568-4717,2
1952-4717,2
1810-9601,1
1810-8661,1
9601-8661,2
9587-11342,1
9587-9346,2
11342-9346,2
5934-1564,2
5934-9607,1
1564-9607,1
3993-2639,2
3993-739,2
2639-739,1
7284-7221,2
7284-3209,2
7221-3209,1
6649-10042,1
6649-14346,1
10042-14346,2
7213-7074,1
7213-1742,1
7074-1742,1
14256-6583,1
14256-10345,1
6583-10345,2
10596-9385,2
10596-14089,1
9385-14089,1
11108-14327,1
11108-5471,1
14327-5471,2
13361-14363,2
13361-11596,2
14363-11596,2
11095-7046,1
13003-7949,2
13003-3409,2
7949-3409,2
12799-11920,1
12799-13075,1
11920-13075,2
6824-12250,1
6824-11138,1
12250-11138,2
4344-9347,2
4344-10602,2
9347-10602,1
2730-14699,1
2730-12430,1
14699-12430,1
925-12805,2
6076-6994,2
6076-1321,1
6994-1321,1
2929-1838,2
2929-6451,2
1838-6451,2
9743-13872,1
9743-13526,1
13872-13526,1
3250-8900,2
3250-8396,2
8900-8396,2
8965-176,1
8965-13482,1
176-13482,1
8145-8456,1
8145-4697,1
8456-4697,1
11461-13681,1
11461-11369,1
13681-11369,2
3408-12365,1
3408-9036,2
12365-9036,2
3767-258,2
3767-1190,2
258-1190,2
8304-4049,1
8304-1442,1
4049-1442,1
4758-9176,1
4758-4639,1
9176-4639,2
918-3987,1
918-6827,1
3987-6827,1
574-6107,2
574-12927,2
6107-12927,2
7092-14177,1
7092-10489,2
14177-10489,2
3947-12227,2
3947-8857,1
12227-8857,1
14870-206,2
14870-4516,1
206-4516,1
4709-3,1
4709-1344,2
3-1344,2
6443-6955,2
6443-2562,1
6955-2562,1
7619-5275,1
7619-12622,2
5275-12622,2
3362-4815,1
3362-3653,1
4815-3653,1
7082-10967,1
7082-2304,1
10967-2304,1
3294-8551,1
3294-9223,2
8551-9223,2
10674-7542,1
10674-9272,1
7542-9272,1
12749-1565,1
12749-8445,1
1565-8445,1
14423-477,1
14423-10551,2
477-10551,2
6067-8423,1
130-11503,1
130-6025,1
11503-6025,2
3179-9334,1
3179-427,1
9334-427,2
11790-8732,1
11790-10177,1
8732-10177,2
2603-479,1
2603-13480,2
479-13480,2
12075-4673,1
12075-13957,1
4673-13957,2
12529-4073,1
12529-13665,1
4073-13665,1
7296-2817,2
7296-4009,2
2817-4009,2
3889-11860,1
3889-12762,1
11860-12762,1
10046-8724,1
10046-991,1
8724-991,1
8576-13393,1
8576-13463,2
13393-13463,2
13478-3244,2
13478-3415,1
3244-3415,1
14211-466,2
14211-8210,2
466-8210,1
3597-9792,1
11247-5350,2
14205-2840,1
14205-8465,2
2840-8465,2
2553-14449,1
2553-6568,1
14449-6568,2
9941-7315,1
9941-1903,1
7315-1903,1
3779-27,2
3779-4485,1
27-4485,1
9215-8930,2
9215-324,2
8930-324,1
3316-8048,1
3316-1910,2
8048-1910,2
9030-11136,1
9030-8594,1
11136-8594,1
12411-5754,1
12411-1020,1
5754-1020,2
3070-4842,2
3070-9838,2
4842-9838,1
652-13933,2
652-14369,1
13933-14369,1
12187-2240,2
12187-6902,2
2240-6902,2
10686-4870,2
10686-14367,2
4870-14367,1
10443-5888,1
10443-5281,1
5888-5281,1
10653-4878,2
10653-5702,2
4878-5702,2
7110-10217,2
7110-14972,2
10217-14972,2
11217-8104,2
11217-12441,2
8104-12441,2
1506-9351,1
1506-1318,1
9351-1318,2
10938-5195,2
10938-3049,1
5195-3049,1
11058-10019,2
11058-9823,1
10019-9823,1
12355-13522,2
12355-3420,1
13522-3420,1
7634-11850,1
7634-13073,1
11850-13073,1
410-9733,1
410-12211,1
9733-12211,1
3313-9560,2
3313-3068,2
9560-3068,1
4512-7872,2
4512-3939,2
7872-3939,2
3607-12109,1
3607-4477,2
12109-4477,2
14606-851,1
14606-13571,1
851-13571,1
7893-949,2
7893-2625,2
949-2625,1
4848-2851,2
4848-14934,2
2851-14934,2
4974-9035,1
4974-6996,1
9035-6996,1
7413-9462,1
7413-10582,1
9462-10582,2
9222-12838,2
9222-5353,2
12838-5353,2
11211-11367,1
11211-15040,2
11367-15040,2
6404-7575,1
6404-10930,2
7575-10930,2
5355-6878,2
5355-3974,2
6878-3974,1
2847-2295,2
2847-12858,2
2295-12858,2
1135-5014,1
1135-4674,2
5014-4674,2
11356-5098,1
11356-3718,2
5098-3718,2
3840-917,2
3840-13671,2
917-13671,2
5328-14168,1
5328-13238,1
14168-13238,2
10491-11323,1
10491-10942,1
11323-10942,2
8219-10855,1
8219-4867,1
10855-4867,1
1909-4965,1
1909-5229,2
4965-5229,2
13751-812,2
13751-12754,2
812-12754,1
11811-513,2
11811-1304,1
513-1304,1
279-2229,2
7787-7640,2
7787-4093,1
7640-4093,1
142-11847,2
142-4240,2
11847-4240,1
14195-5759,1
14195-1394,1
5759-1394,1
3493-7162,1
3493-5679,2
7162-5679,2
2422-7057,1
2422-8550,1
7057-8550,1
8596-5725,2
8596-10544,2
5725-10544,2
9767-12471,1
9767-12537,2
12471-12537,2
15019-14878,2
15019-11562,2
14878-11562,2
4659-9014,1
4659-6592,1
9014-6592,1
5717-17,1
5717-10815,1
17-10815,2
8253-4871,2
8253-824,2
4871-824,1
14709-2129,2
14709-118,2
2129-118,2
11510-7189,2
11510-10787,2
7189-10787,1
1005-2044,1
1005-2657,1
2044-2657,1
11402-5606,2
11402-13253,2
5606-13253,1
13362-12729,1
13362-13790,1
12729-13790,2
14374-14752,2
14374-2144,1
14752-2144,1
790-13355,2
790-3006,2
13355-3006,1
7929-1417,1
7929-11922,1
1417-11922,1
2211-10809,2
2211-9102,2
10809-9102,2
9474-6109,2
9474-14297,1
6109-14297,1
14379-8275,1
14379-7178,1
8275-7178,2
3376-5820,1
3376-11861,1
5820-11861,2
8327-11750,2
8327-8557,2
11750-8557,2
13220-708,1
13220-8580,2
708-8580,2
9108-12249,2
9108-1339,2
12249-1339,2
4221-11538,2
4221-12337,1
11538-12337,1
13890-14744,1
13890-1499,2
14744-1499,2
14900-11050,2
14900-12367,2
11050-12367,1
5148-11212,1
5148-13283,1
11212-13283,1
9651-6371,1
9651-2429,1
6371-2429,2
8052-7991,2
8052-11803,2
7991-11803,1
9419-1436,2
9419-9698,1
1436-9698,1
2074-6340,2
2074-9639,2
6340-9639,1
4986-8147,2
4986-8973,2
8147-8973,1
10819-4440,2
10819-11975,2
4440-11975,2
9970-2617,2
9970-12961,2
2617-12961,2
5340-881,2
5340-8777,2
881-8777,1
7349-7458,2
7349-10703,1
7458-10703,1
3828-9377,2
3828-12962,2
9377-12962,2
1297-5414,2
1297-15025,1
5414-15025,1
6870-13573,2
6870-3308,1
13573-3308,1
11227-11290,1
11227-85,2
11290-85,2
9695-7571,1
9695-8376,1
7571-8376,2
926-1533,1
926-8049,1
1533-8049,2
7954-2346,2
7954-7801,1
2346-7801,1
14040-5633,1
14040-734,1
5633-734,1
13301-517,2
13301-8893,2
517-8893,2
5799-8448,2
5799-3716,2
8448-3716,2
12763-798,2
12763-3959,2
798-3959,1
2342-3461,1
2342-3264,2
3461-3264,2
4094-8959,2
4094-8808,2
8959-8808,2
1874-14402,1
14528-11948,2
14528-6643,1
11948-6643,1
2232-2541,2
2232-10110,2
2541-10110,1
6379-3279,1
6379-13110,1
3279-13110,2
8366-13077,2
13596-15032,2
13596-10198,2
15032-10198,1
177-14500,2
177-13501,2
14500-13501,2
7290-4804,2
7290-8226,2
4804-8226,2
2579-965,1
2579-3201,2
965-3201,2
83-1670,2
8938-10381,1
8938-253,2
10381-253,2
4411-6272,1
4411-6185,1
6272-6185,1
11334-10993,1
11334-10312,1
10993-10312,1
8215-11270,1
6065-5171,2
6065-2761,2
5171-2761,2
6638-1621,2
6638-2712,2
1621-2712,1
12025-4934,1
12025-10963,2
4934-10963,2
534-2293,2
534-10387,2
2293-10387,2
1897-6212,1
1897-14014,1
6212-14014,1
3490-4018,1
3490-392,1
4018-392,2
383-9088,2
383-8618,2
9088-8618,2
12044-2210,2
12044-10059,1
2210-10059,1
1945-10910,1
9940-4779,2
9940-5276,2
4779-5276,1
14441-13709,1
14441-14222,1
13709-14222,1
7312-4790,2
7312-3764,2
4790-3764,2
1628-12181,2
1628-571,2
12181-571,1
9894-12959,2
9894-3861,1
12959-3861,1
774-6967,1
774-1068,1
6967-1068,2
3999-12650,2
3999-3252,2
12650-3252,2
8478-2902,2
8478-5748,2
2902-5748,1
9004-5833,2
9004-6981,1
5833-6981,1
7402-1784,1
5083-9732,1
5083-6255,1
9732-6255,2
10711-10373,2
10711-10975,2
10373-10975,2
1925-11226,2
2388-5751,1
2388-7725,1
5751-7725,1
9991-13983,1
9991-11880,2
13983-11880,2
12632-11720,2
12632-9879,1
11720-9879,1
6125-12638,1
6125-144,1
12638-144,1
9503-3440,2
9503-14792,2
3440-14792,2
9418-6213,2
9418-6334,2
6213-6334,2
5700-2109,2
5700-8584,2
2109-8584,1
10882-12824,2
10882-7262,2
12824-7262,1
11057-4527,1
11057-12010,1
4527-12010,2
5129-3039,2
5129-8094,2
3039-8094,2
7675-13405,1
7675-8760,2
13405-8760,2
14171-2606,1
14171-8696,2
2606-8696,2
8024-6633,1
10254-7379,2
10254-2157,2
7379-2157,1
13123-2413,1
13123-13183,1
2413-13183,1
14889-2130,2
14889-14248,2
2130-14248,2
13086-13472,2
13086-14203,1
13472-14203,1
11199-4385,1
11199-9557,2
4385-9557,2
14038-14904,1
14038-8738,1
14904-8738,2
13560-2430,2
13560-12788,1
2430-12788,1
10414-14696,2
10414-4466,2
14696-4466,2
6473-11157,2
6473-3564,2
11157-3564,2
13837-2060,2
13837-12692,1
2060-12692,1
7944-14573,2
7944-9638,1
14573-9638,1
1961-3305,1
1961-14067,1
3305-14067,2
1027-10706,1
1027-7727,1
10706-7727,2
12789-13116,2
12789-5953,2
13116-5953,2
5908-7548,2
5908-10780,2
7548-10780,1
619-8585,1
619-7218,1
8585-7218,2
11828-8279,2
960-6997,1
960-7135,2
6997-7135,2
507-2131,2
507-1554,2
2131-1554,1
8416-9589,2
8416-5859,2
9589-5859,1
9425-6482,1
9425-2860,2
6482-2860,2
3650-14553,1
3650-3694,2
14553-3694,2
4770-8829,1
4770-5773,2
8829-5773,2
2944-14398,1
2944-12454,1
14398-12454,1
2460-8727,2
2460-4056,2
8727-4056,2
10736-5047,1
10736-4168,1
5047-4168,1
11565-2849,2
11565-6927,2
2849-6927,2
9383-5602,2
9383-8280,1
5602-8280,1
6580-3525,2
6580-6453,1
3525-6453,1
3341-4035,1
3341-1268,2
4035-1268,2
12424-13241,1
12424-3985,2
13241-3985,2
5896-6349,1
5896-1727,2
6349-1727,2
3331-8553,2
3331-1308,2
8553-1308,1
6007-6267,1
6007-3207,1
6267-3207,1
643-13173,1
643-5923,1
13173-5923,2
3083-12251,1
3083-7308,1
12251-7308,1
1487-4864,1
1487-4259,2
4864-4259,2
1655-6495,1
1655-1092,1
6495-1092,2
3843-4313,2
3843-5438,1
4313-5438,1
13037-5524,2
13037-2215,2
5524-2215,2
2340-9103,1
2340-14921,2
9103-14921,2
3438-686,2
3438-7217,1
686-7217,1
1179-326,1
1179-12089,2
326-12089,2
15008-13312,2
15008-15053,1
13312-15053,1
13125-7811,1
13125-1846,1
7811-1846,1
9564-7762,2
9564-4405,1
7762-4405,1
14119-9278,2
14119-545,1
9278-545,1
11618-8785,2
7291-8863,1
7291-8288,1
8863-8288,1
14787-8830,1
14787-8293,1
8830-8293,2
7479-9158,1
7479-7266,2
9158-7266,2
10708-11818,1
10708-10683,1
11818-10683,2
6738-13708,1
6738-4398,2
13708-4398,2
9806-12190,1
9806-13632,1
12190-13632,1
1045-11130,1
1045-14342,1
11130-14342,1
12665-593,2
12665-11805,1
593-11805,1
11315-10047,2
11315-10576,2
10047-10576,2
193-13923,2
193-3315,2
13923-3315,1
4003-6834,1
4003-12428,1
6834-12428,2
8212-6577,2
8212-786,2
6577-786,1
8446-12688,2
7378-6168,1
7378-11081,2
6168-11081,2
78-47,2
78-50,2
47-50,1
9123-12930,2
9123-6193,2
12930-6193,2
3835-7040,1
3835-10265,1
7040-10265,1
8060-1692,2
10747-4636,1
10747-10558,1
4636-10558,1
14453-1935,1
14453-4303,1
1935-4303,2
12071-1393,2
2837-8063,1
2837-2874,1
8063-2874,1
754-3511,1
754-6118,1
3511-6118,1
207-8200,1
207-13074,2
8200-13074,2
11854-10748,1
11854-674,2
10748-674,2
9635-14088,1
2593-9432,1
2593-9836,2
9432-9836,2
13518-10850,2
13518-6713,2
10850-6713,1
5368-14945,1
5368-3116,1
14945-3116,1
10673-3762,1
13812-8436,1
13812-14975,1
8436-14975,1
12136-13692,2
12136-12912,2
13692-12912,1
7728-11594,2
7728-13554,2
11594-13554,2
3545-9246,1
3545-8712,1
9246-8712,1
5599-8000,1
5599-14516,1
8000-14516,2
13789-14837,2
13789-14965,2
14837-14965,1
7980-6543,1
7980-14306,1
6543-14306,2
5294-6061,1
5294-7813,1
6061-7813,1
13634-13490,1
13634-9395,2
13490-9395,2
3681-14717,1
3681-6898,1
14717-6898,2
10532-11171,1
10532-3468,2
11171-3468,2
10546-1640,1
10546-12678,1
1640-12678,2
1406-8751,2
1406-5068,2
8751-5068,1
11162-14541,2
11162-3956,1
14541-3956,1
13831-5232,1
13831-312,1
5232-312,1
8274-525,1
8274-2369,1
525-2369,2
5261-7757,1
5261-10310,1
7757-10310,2
3884-1041,2
108-2444,1
108-9336,1
2444-9336,2
7654-13273,2
7654-3352,2
13273-3352,1
8826-6405,2
8826-8270,1
6405-8270,1
3232-9236,1
3232-9406,1
9236-9406,1
14996-13895,1
14996-3442,2
13895-3442,2
6658-13207,1
6658-3671,1
13207-3671,2
7219-13485,1
7219-3401,2
13485-3401,2
6446-1741,2
6446-3002,1
1741-3002,1
15092-14895,2
15092-14451,1
14895-14451,1
3832-3436,1
3832-1561,1
3436-1561,1
11591-12882,1
11329-11548,1
11329-11706,1
11548-11706,1
9900-11122,1
9900-9305,1
11122-9305,2
6717-7476,1
12797-6081,1
12797-6940,1
6081-6940,2
13372-8389,2
13372-5103,1
8389-5103,1
6887-8925,1
6887-10049,2
8925-10049,2
6746-3191,1
6746-14663,1
3191-14663,1
4843-14114,1
4843-4643,1
14114-4643,2
2534-6454,1
2534-7407,2
6454-7407,2
1105-6988,2
1105-14915,2
6988-14915,2
9152-10418,2
9152-11464,1
10418-11464,1
799-6176,2
799-4164,1
6176-4164,1
8975-7198,1
8975-13102,1
7198-13102,2
4124-14683,1
4124-5411,1
14683-5411,2
12847-5547,2
12847-3325,2
5547-3325,1
11926-13432,1
11926-11169,1
13432-11169,2
322-3131,2
322-10881,1
3131-10881,1
5673-11775,2
5673-1258,3
11775-1258,1
7709-14091,1
7709-1009,1
14091-1009,2
15051-4190,2
15051-10688,2
4190-10688,2
13092-2660,1
13092-107,1
2660-107,2
13332-13893,1
13332-12656,1
13893-12656,1
15083-4646,1
8428-3750,2
8428-4729,2
3750-4729,2
3599-10256,1
3599-6799,1
10256-6799,1
11899-11047,1
11899-14623,2
11047-14623,2
6375-11351,2
6375-12830,1
11351-12830,1
9072-9535,1
9072-2495,1
9535-2495,2
13065-2615,1
13065-14961,1
2615-14961,1
11129-10458,2
3306-10648,2
3306-4493,2
10648-4493,1
5405-6195,1
5405-8831,1
6195-8831,1
5325-14766,1
5694-6600,2
5694-6006,1
6600-6006,1
8047-9946,1
8047-14386,1
9946-14386,2
5084-4492,2
5084-5433,2
4492-5433,2
4200-780,1
4200-5280,2
780-5280,2
10332-13643,1
10332-9130,1
13643-9130,2
1167-14061,1
1167-8619,1
14061-8619,1
14309-11856,1
14309-11678,1
11856-11678,1
14492-5954,1
14492-96,1
5954-96,1
10164-8536,1
10164-13544,1
8536-13544,1
14708-1365,1
8460-13595,1
8460-8598,1
13595-8598,2
9344-691,2
9344-9457,2
691-9457,2
4594-1501,2
4594-10096,1
1501-10096,1
7743-384,1
7743-2093,2
384-2093,2
13516-1744,2
13516-893,2
1744-893,2
8956-710,2
8956-11836,2
710-11836,2
237-11846,1
237-1859,1
11846-1859,2
8339-9447,1
4212-2478,1
4212-789,2
2478-789,2
9576-7701,1
9576-2100,1
7701-2100,2
11617-13614,1
11617-412,2
13614-412,2
3705-6199,2
3705-14756,1
6199-14756,1
6496-14842,1
6496-6053,1
14842-6053,1
3282-7076,2
3282-11443,1
7076-11443,1
1646-13048,1
1646-11804,2
13048-11804,2
14562-8979,2
14562-6178,2
8979-6178,2
4085-3082,1
4085-12908,1
3082-12908,1
12459-11376,2
12459-11584,2
11376-11584,2
35-12112,1
35-8393,2
12112-8393,2
329-6681,1
329-275,1
6681-275,2
1595-14603,2
1595-4919,2
14603-4919,2
1750-14558,2
1750-13461,2
14558-13461,2
7785-12723,2
7785-3372,2
12723-3372,2
3351-8670,2
3351-3021,2
8670-3021,2
5884-12352,2
5884-2350,1
12352-2350,1
11332-1159,1
11332-5121,1
1159-5121,2
4487-9778,2
4487-3077,2
9778-3077,1
9301-5191,1
9301-13661,1
5191-13661,1
8966-8323,1
8966-1811,2
8323-1811,2
5156-3842,1
5156-12589,2
3842-12589,2
10909-3273,1
10909-11985,2
3273-11985,2
7247-8583,2
7247-10431,2
8583-10431,1
940-11694,2
940-928,2
11694-928,1
10510-5088,1
10510-3432,2
5088-3432,2
11395-8117,2
11395-6821,1
8117-6821,1
14633-6177,1
14633-6410,1
6177-6410,2
14826-7581,1
14826-1545,1
7581-1545,2
5222-1178,1
5222-9520,1
1178-9520,1
13330-4006,1
13330-9774,2
4006-9774,2
5533-3537,1
5533-11180,1
3537-11180,2
10970-490,2
10970-12231,2
490-12231,1
13847-2055,2
13847-5718,1
2055-5718,1
7556-5337,1
7556-55,1
5337-55,2
9471-14984,1
9471-4860,1
14984-4860,1
5570-1443,2
5570-9822,1
1443-9822,1
6287-12715,2
6287-9226,1
12715-9226,1
5131-8268,2
5131-7173,1
8268-7173,1
11595-6014,2
11595-9148,1
6014-9148,1
11118-10647,2
11118-13805,1
10647-13805,1
8153-11207,2
8153-1459,1
11207-1459,1
333-12278,2
333-2085,2
12278-2085,1
9083-11667,2
9083-5398,2
11667-5398,1
14254-5790,1
14254-3677,2
5790-3677,2
4441-9798,1
4441-9511,1
9798-9511,2
4005-4197,1
6378-10540,2
6378-12028,2
10540-12028,1
14281-10662,1
14281-2932,1
10662-2932,1
12455-14382,1
12455-3713,1
14382-3713,1
10584-6353,1
10584-9860,1
6353-9860,2
11040-10637,1
11040-9697,2
10637-9697,2
2778-9648,2
2778-10308,2
9648-10308,1
9761-7108,2
9761-6279,1
7108-6279,1
1440-1967,1
1440-2266,1
1967-2266,1
6206-12037,1
6206-8674,1
12037-8674,2
8250-493,2
8250-8402,2
493-8402,2
4895-4553,2
4895-6606,2
4553-6606,1
3488-12299,1
3488-1686,1
12299-1686,1
787-2147,2
787-4621,1
2147-4621,1
9337-553,1
9337-8346,2
553-8346,2
2170-11569,2
2170-12284,2
11569-12284,2
12115-11125,1
12115-12432,2
11125-12432,2
1710-10114,1
1710-794,1
10114-794,1
8360-13663,2
8360-7602,2
13663-7602,1
11496-8508,1
11496-7632,2
8508-7632,2
14834-13424,2
14834-13838,1
13424-13838,1
386-4532,2
386-14442,1
4532-14442,1
9710-7043,2
9710-7962,2
7043-7962,1
2359-10627,2
2359-3073,2
10627-3073,2
8158-2569,1
8158-13309,1
2569-13309,1
13656-1706,1
13656-7156,2
1706-7156,2
416-10304,1
416-3902,1
10304-3902,2
9840-11965,2
9840-7990,2
11965-7990,2
74-15074,1
74-1356,1
15074-1356,1
1414-6110,1
1414-11879,1
6110-11879,2
3196-65,2
3196-4225,2
65-4225,1
10382-13562,2
10382-330,2
13562-330,2
10006-11009,1
12268-1657,2
12268-14777,2
1657-14777,1
9084-8988,1
9084-9309,1
8988-9309,1
13822-8989,1
13822-8433,1
8989-8433,2
7967-6710,1
7967-5935,1
6710-5935,2
1368-11871,2
1368-10764,2
11871-10764,2
14157-12686,2
14157-5642,2
12686-5642,1
4280-6345,1
4280-14813,1
6345-14813,1
13815-5304,1
13815-10375,2
5304-10375,2
1524-1407,2
1524-14716,2
1407-14716,1
5646-13920,1
5646-8525,1
13920-8525,1
13918-103,1
13918-1203,1
103-1203,1
4688-11346,2
4688-9478,2
11346-9478,2
8918-6315,2
8918-14097,2
6315-14097,2
10034-8929,2
10034-11643,2
8929-11643,1
569-7702,1
569-5086,2
7702-5086,2
6913-10866,1
6913-8518,1
10866-8518,1
10405-5822,1
10405-9766,1
5822-9766,1
7661-7514,2
7661-332,1
7514-332,1
2685-5267,1
2685-4585,1
5267-4585,2
6544-14891,1
6544-14509,2
14891-14509,2
1580-15076,2
13009-7279,1
13009-5475,2
7279-5475,2
7129-7134,2
7129-1849,1
7134-1849,1
13845-4146,1
13845-9161,1
4146-9161,2
11248-2792,1
11248-8322,1
2792-8322,1
5266-4629,2
1866-14025,2
1866-12533,2
14025-12533,1
11203-14000,2
11203-13098,2
14000-13098,1
3433-11999,1
8370-11783,2
8370-4742,2
11783-4742,1
1752-14002,1
1752-13036,1
14002-13036,2
12499-13354,2
12499-13402,2
13354-13402,1
4711-972,1
4711-13963,2
972-13963,2
4515-11615,1
